id,chain,rating
nt-101,Step 1: Identify the countries with the least amount of silver medals. Step 2: Identify the countries with the least amount of gold medals. Step 3: Identify the countries with the least amount of silver medals. Answer: France,1
nt-608,Step 1: The community airport name is Antil Plains Aerodrome. The community airport name is Eagle Farm Airport. The community airport name is Eagle Farm Airport.,0
nt-1255,"Step 1: The date of Pearl Jam's performance in Canada is August 11, 1993. The date of Pearl Jam's performance in Canada is August 12, 1993. The date of Pearl Jam's performance in Canada is August 14, 1993. The date of Pearl Jam's performance in Canada is August 18, 1993. The date of Pearl Jam's performance in Canada is August 19, 1993. The date of Pearl Jam's performance in Canada is August 4, 1993. The date of Pearl Jam's performance in Canada is August 4, 1993. The date of Pearl Jam's performance in Canada is August 11, 1993. The date of Pearl Jam",0
nt-1824,"Step 1: Took office was left office. Mehmet Ali Talat was next to serve. Ferdi Sabit Soyer was next to serve. Therefore, the answer is Ferdi Sabit Soyer.",0
nt-2922,Step 1: Cornish Snow is a flower type that is a single. Cornish Spring is a single. Cornish Spring is a flower type that is a double. Cornish Spring is a single. Cornish Spring is a single.,0
nt-3024,"Step 1: The number of years it took for Rita Moreno to complete her egot is 30 years. Therefore, the number of years it took for Rita Moreno to complete her egot is 30 years. Therefore, the number of years it took for Rita Moreno to complete her egot is 30 years. Therefore, the number of years it took for Rita Moreno to complete her egot is 30 years. Therefore, the number of years it took for Rita Moreno to complete her egot is 30 years. Therefore, the number of years it",0
nt-3504,Step 1: Rank: Vilija Sereikaite | Lithuania | 3:33.766 | 50.522 | Q 2 | Ellen van Dijk | Netherlands | 3:35.951 | Q 3 | Joanna Rowsell | United Kingdom | 3:37.641 | 49.623 | q 5 | Aksana Papko | Belarus | 3:43.935 | 48.288 | 7 | Jarmila Machacova | Czech Republic | 3:45.132 | 47.971 | 8 | Stephanie Pohl | Germany | 3:47,0
nt-4851,"Step 1: The number of strikes that were over 200,000 members is 200,000 + 18 days = 200,000 members. Therefore, the answer is 200,000.",0
nt-5211,"Paranormal Activity: The Marked Ones, The Wolf of Wall Street, Jack Ryan: Shadow Recruit, American Hustle, The Book Thief, Khumba, I, Frankenstein, The Legend of Hercules, Thanks for Sharing, Dallas Buyers Club, The Lego Movie, 3rd Place, 300: Rise of an Empire, Homefront, Zip & Zap and the Marble Gang, 300: Rise of an Empire, 300: Rise of an Empire, 300: Rise of an Empire, 300: Rise of an Empire, 300: Rise of an Empire, 300: Rise",0
nt-5379,"Step 1: To par Don January, there are 2 players in the country. To par Don January, there are 2 players in the country. Therefore, the answer is 2.",0
nt-5403,"The sentence is about a priest who served as a priest for a year. The sentence is about a priest who served for a year. Therefore, the answer is a year.",0
nt-5414,"Step 1: To answer this question, we should know that: Peter Little was resigned to accept position as Minister Plenipotentiary to Russia on March 3, 1823. Therefore, the answer is March 3, 1825.",0
nt-5570,Four f/c's (forward/center) are on the list.,0
nt-5757,"Step 1: The number of games that Rowaihi's team scored the same number of goals as the opposing team is . Therefore, the answer is 1.",0
nt-5843,Ba Bop Ba Dop Bop,0
nt-6051,"Step 1: September 29, 2006, Lionel Roberts Park, Charlotte Amalie, U.S. Virgin Islands, 2–1 | 6–1 | 2007 Caribbean Cup qualifier 2. | October 1, 2006, Lionel Roberts Park, Charlotte Amalie, U.S. Virgin Islands, 3–1 | 6–1 | 2007 Caribbean Cup qualifier 3. | October 1, 2006, Lionel Roberts Park, Charlotte Amalie, U.S. Virgin Islands, 3–1 | 6–1 | 2007 Caribbean Cup qualifier 4. | July 8, 2011 | Estadio Panamerica",0
nt-6071,"Step 1: The number of club members who put the shot at least 20.15 the first time they broke 20m is 20.15 - 1. Therefore, the answer is 1.",0
nt-6572,"The relevant information to answer the above question is: 146, BAe ATP, Dash 8-300, Dash 7, Metro III | ?-02/03/1993 | Original and operating as United Express. Therefore, the answer is 146.",0
nt-7265,"The relevant sentence in the passage is: The first transfer occurred in May 2009, but the date of the first transfer is not specified. Therefore, the answer is Maykon.",0
nt-7379,"Step 1: The Sega Master System was released for the NES in 1988. The Sega Master System was released for the Sega 2600, Amiga, ZX Spectrum, Amstrad CPC, Atari ST, Data East, 1987, 1989, 1990, 1991, 1992, 1993, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007",0
nt-7632,"Kenyan athlete, Binesh Prasad, came in third place.",0
nt-7703,"The total number of trains destined for New Delhi is 3 trains. The total number of trains destined for New Delhi is 3 trains. Therefore, the answer is 3.",0
nt-8001,"Step 1: The fastest person in the world is Iceland. Iceland is faster than Finland. Therefore, the answer is iceland.",0
nt-8322,"Step 1: The number of European Cups is 17 and the number of European Cups is 17 + 17 = 18. Therefore, the answer is 17.",0
nt-8339,Step 1: The total score for December 26 is 2 + 1 + 1 = 3 + 1 = 4 + 3 = 7 + 3 = 9 + 3 = 11 + 3 = 13 + 3 = 17 + 3 = 19 + 3 = 21,0
nt-8791,"The relevant information to answer the above question is: The Russian team has a number of athletes. Therefore, the final answer is a number of athletes.",0
nt-9226,"Step 1: The definition of the channel is ABC1 HD, ABC2 SD, ABC3 SD, ABC News 24 HD, ABC News 24 HD, ABC3 SD, ABC News 24 HD, ABC News 24 HD, ABC News 24 HD, ABC News 24 HD, ABC News 24 HD, ABC News 24 HD, ABC News 24 HD, ABC News 24 HD, ABC News 24 HD, ABC News 24 HD, ABC News 24 HD, ABC News 24 HD, ABC News 24 HD, ABC News 24 HD, ABC News 24 HD, ABC News 24 HD, ABC News 24 HD, ABC News 24 HD, ABC News 24",0
nt-9237,"Step 1: The total number of points is 3 points. The total number of points is 10 points. Therefore, the answer is 10.",0
nt-9459,"Step 1: The number of singles released by A.C. in 1991 is 71. Therefore, the answer is 71.",0
nt-9613,"Step 1: The game was played on January 9, 2009 at Portland LumberJax. The game was played on January 24, 2009 at Edmonton Rush. The game was played on January 31, 2009 at New York Titans. The game was played on January 9, 2009 at Portland LumberJax. The game was played on January 9, 2009 at Pepsi Center. The game was played on January 9, 2009 at Portland LumberJax. The game was played on January 9, 2009 at Pepsi Center. The game was played on January 9, 2009 at Portland LumberJax. The game was played on",0
nt-9668,Step 1: The first person to place first in the race is Jason Leffler. The second person to place first in the race is Greg Biffle. The third person to place first in the race is Aric Almirola. The fourth person to place first in the race is Brad Keselowski. The fifth person to place first in the race is Mike Bliss.,0
nt-9676,"The number of laureates in the Nobel Peace Prize is ten. Therefore, the final answer is none.",0
nt-10294,"Step 1: The preliminary round had 2 divers, but not the final. Therefore, the final had 2 divers, but not the final. Therefore, the final had 2 divers, but not the final. Therefore, the final had 2 divers, but not the final. Therefore, the final had 2 divers, but not the final. Therefore, the final had 2 divers, but not the final. Therefore, the final had 2 divers, but not the final. Therefore, the final had 2 divers, but not the final. Therefore, the final had 2 divers, but not the final. Therefore, the final had 2 divers, but",0
nt-10369,Step 1: The face value of the next year is 0.000001.,0
nt-10384,Step 1: Identify the number of images on the list. Identify the number of images on the list. Step 2: Identify the number of images on the list. Step 3: Identify the number of images on the list. Step 4: Identify the number of images on the list. Step 5: Identify the number of images on the list. Step 6: Identify the number of images on the list. Step 7: Identify the number of images on the list. Step 8: Identify the number of images on the list. Step 9: Identify the number of images on the list. Step,0
nt-10513,"Step 1: The total prize money paid to the champion and the runner up is SGD 3,600. The total prize money paid to the champion and the runner up is SGD 2,400. Therefore, the amount left over is SGD 2,400. Answer: SGD",1
nt-10604,Step 1: Buggy Grand Prix: Kattobi! Dai-Sakusen was released in 2003. Psikyo Shooting Collection Vol. 1: Strikers 1945 I & II was released in Europe by Play It as 1945 I & II: The Arcade Games. Psikyo Shooting Collection Vol. 2: Sengoku Ace & Sengoku Blade was released in 2004.,0
nt-10715,"Step 1: The Tensile Modulus is a unit. The Tensile Modulus is a unit. The Tensile Modulus is a unit. Therefore, the Tensile Modulus is a unit. Therefore, the Tensile Modulus is a unit. Therefore, the Tensile Modulus is a unit. Therefore, the Tensile Modulus is a unit. Therefore, the Tensile Modulus is a unit. Therefore, the Tensile Modulus is a unit. Therefore, the Tens",0
nt-10746,The relevant sentence in the passage is: Shadows and Light (reprise) | The Band | The Band | The Staple Singers | The Band | The Weight | The Weight | The Weight | The Weight | The Weight | The Weight | The Weight | The Weight | The Weight | The Weight | The Weight | The Weight | The Weight | The Weight | The Weight | The Weight | The Weight | The Weight | The Weight | The Weight | The Weight | The Weight | The Weight | The Weight | The Weight | The Weight | The Weight | The Weight | The Weight | The Weight | The Weight | The,0
nt-10764,"Step 1: The first prion was characterized in 1994. Therefore, the answer is 1994.",0
nt-11296,"The table below shows the total number of females who are bisexual. The total number of females who are bisexual is 57. Therefore, the answer is 57.",0
nt-11476,"Step 1: The number of people who finished the race in less than 1:02 is 1. Therefore, the answer is 1.",0
nt-11910,"Step 1: The number of winners after Clonkill is 1. Therefore, the answer is 1.",0
nt-12018,"Step 1: The given team won or lost more games when played at Notre Dame Stadium. Therefore, the answer is win.",0
nt-12076,Step 1: Identify the target length of the name. Step 2: Identify the name of the team. Step 3: Identify the shortest name of the team. Answer: 1.,1
nt-12854,Step 1: Intentions 1986,0
nt-130,"Step 1: Flor Alpaerts was a composer of incidental music. He was withdrawn from the musical genre. He was a favourite among his own compositions. He was involved in a debate with Richard Strauss to prove that his music was written earlier than Strauss's version. Therefore, the answer is incidental music.",0
nt-837,Number Drill 49 (1.85 mm) 1/8 | 0.0930 | 40 | 0.025 | Number Drill 39 (2.55 mm) 5/32 | 0.1162 | 32 | 0.0313 | Number Drill 30 (3.2 mm) 3/16 | 0.1341 | 24 | 0.0417 | Number Drill 26 (3.7 mm) 7/32 | 0.1654 | 24 | 0.0417 | Number Drill 16 (4.5 mm) 1/4 | 0.1860 | 20 | 0.0556 | Number Drill 9 (5.1 mm) 5/16 | 0.1341 |,0
nt-1573,Step 1: Jaafar Mohamed was in office from 1886 to 1890. Jaafar Mohamed was in office from 1890 to 1922. Abdullah Jaafar was in office from 1923 to 1928. Abdul Hamid Yusof was in office from 1931 to 1934. Abdul Kadir Mohamed was in office from 1952 to 1957.,0
nt-1626,Step 1: Identify the player position. Identify the player position. Identify the player position. Identify the player position. Identify the player position. Identify the player position. Identify the player position. Identify the player position. Identify the player position. Identify the player position. Identify the player position. Identify the player position. Identify the player position. Identify the player position. Identify the player position. Identify the player position. Identify the player position. Identify the player position. Identify the player position. Identify the player position. Identify the player position,0
nt-3119,"Step 1: The following titles have a date of November: Ad Beatissimi Apostolorum, Humani Generis Redemptionem, Pacem, Dei Munus Pulcherrimum, Pacem, Dei Munus Pulcherrimum, Pacem, Dei Munus Pulcherrimum, Pacem, Dei Munus Pulcherrimum, Pacem, Dei Munus Pulcherrimum, Pacem, Dei Munus Pulcherrimum, Pacem, Dei Munus Pulcherrimum, Pacem, De",0
nt-3430,The following is the population growth rate for the district from 2001 to 2011.,0
nt-4248,"The number of incumbents who retired or lost re-election is 0 . Therefore, the answer is 1.",0
nt-4719,"Step 1: The date of the match is the same as the date of the opposition. The date of the match is the same as the date of the match. Therefore, the answer is the date of the match.",0
nt-7232,The relevant sentence in the passage is: Record high °C (°F) | 38n(100) | 40n(104) | 43n(109) | 48n(118) | 46n(115) | 45n(113) | 42.5n(108.5) | 42.5n(108.5) | 41n(106) | 39n(102) | 39n(102) | 48n(118) The relevant sentence in the passage is: Record low °C (°F) | 7n,0
nt-8226,"The relevant sentence in the passage is: Beriah Brown | elected July 8, 1878 | 1878 | 1879 Orange Jacobs | elected July 12, 1880nand July 11, 1881 | 1880 | 1882 Henry G. Struve | elected July 13, 1883 | 1882 | 1885 | 1886 | 1887 Dr. Thomas T. Minor | elected July 11, 1881 | 1880 | 1882 | 1887 | 1888 | 1890 | 1891 | George W. Hall | appointed December 9, 1891 | 1891 | 1897 | 1897 | Thomas J. Humes |",0
nt-11256,"Step 1: The number of people ranked is 0 - 1. Therefore, the answer is 0",0
